SourceID,ProductID,AvgRating,ReviewCount,SatisfiedCount,CurrentPrice
S01,P0533,0.0,0,4313,103990000
S01,P0534,0.0,0,6616,15590000
S01,P0535,0.0,0,21007,15999000
S01,P0536,0.0,0,4873,19490000
S01,P0537,0.0,0,10424,36190000
S01,P0538,0.0,0,12886,27990000
S01,P0539,0.0,0,14335,27990000
S01,P0540,0.0,0,7605,26900000
S01,P0541,0.0,0,9908,17999000
S01,P0542,0.0,0,44782,22090000
S01,P0543,0.0,0,15586,50990000
S01,P0544,0.0,0,37499,47999000
S01,P0545,0.0,0,463,20390000
S01,P0546,0.0,0,561,53990000
S01,P0547,0.0,0,8291,38990000
S01,P0548,0.0,0,1447,47990000
S01,P0549,0.0,0,3250,31490000
S01,P0550,0.0,0,183,20890000
S01,P0551,0.0,0,23459,14990000
S01,P0552,0.0,0,5266,55990000
S01,P0553,0.0,0,1088,23490000
S01,P0554,0.0,0,5186,33990000
S01,P0555,0.0,1,14989,17990000
S01,P0556,0.0,0,4751,63190000
S01,P0557,0.0,0,4936,30990000
S01,P0558,0.0,0,2150,71990000
S01,P0559,0.0,0,18455,31990000
S01,P0560,0.0,0,14300,25690000
S01,P0561,0.0,0,1794,30990000
S01,P0562,0.0,0,6204,31850000
S01,P0563,0.0,0,3603,20190000
S01,P0564,0.0,0,5378,26360000
S01,P0565,0.0,0,2899,70990000
S01,P0566,0.0,0,13198,39990000
S01,P0567,0.0,0,33555,22290000
S01,P0568,0.0,0,851,96990000
S01,P0569,0.0,0,8958,26490000
S01,P0570,0.0,0,45,28590000
S01,P0571,0.0,0,2861,39590000
S01,P0572,0.0,0,18751,32690000
S01,P0573,0.0,0,2414,10790000
S01,P0574,0.0,0,6368,39999000
S01,P0575,0.0,0,1006,86990000
S01,P0576,0.0,0,8641,24999000
S01,P0577,0.0,1,49586,48990000
S01,P0578,0.0,0,1662,17890000
S01,P0579,0.0,0,12544,32990000
S01,P0580,0.0,0,25424,26490000
S01,P0581,0.0,0,7599,22990000
S01,P0582,0.0,0,11502,13390000
S01,P0583,0.0,0,6551,14790000
